Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Residencia: Nivel 1;Residencia: Nivel 2;Viajeros y pernoctaciones;Periodo;Total
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Pernoctaciones;2023M07;974.544
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Pernoctaciones;2023M06;889.859
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Pernoctaciones;2023M05;644.969
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Pernoctaciones;2023M04;297.000
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Pernoctaciones;2023M03;173.879
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Pernoctaciones;2023M02;140.170
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Pernoctaciones;2023M01;85.942
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Pernoctaciones;2022M12;80.586
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Pernoctaciones;2022M11;97.922
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Pernoctaciones;2022M10;419.017
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Pernoctaciones;2022M09;687.086
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Pernoctaciones;2022M08;1.192.546
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Pernoctaciones;2022M07;936.133
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Pernoctaciones;2022M06;826.105
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Pernoctaciones;2022M05;525.630
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Pernoctaciones;2022M04;336.559
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Pernoctaciones;2022M03;177.559
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Pernoctaciones;2022M02;107.070
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en España;Pernoctaciones;2022M01;44.476
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2025M03;226.959
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2025M02;111.658
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2025M01;39.462
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2024M12;57.073
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2024M11;78.152
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2024M10;1.207.595
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2024M09;1.581.810
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2024M08;1.835.257
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2024M07;1.810.063
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2024M06;1.674.983
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2024M05;1.559.770
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2024M04;664.355
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2024M03;270.731
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2024M02;91.824
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2024M01;38.711
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2023M12;52.974
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2023M11;72.557
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2023M10;1.041.187
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2023M09;1.514.425
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2023M08;1.739.237
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2023M07;1.734.992
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2023M06;1.569.372
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2023M05;1.297.010
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2023M04;656.555
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2023M03;167.839
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2023M02;73.205
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2023M01;40.466
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2022M12;44.716
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2022M11;66.857
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2022M10;905.023
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2022M09;1.430.997
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2022M08;1.670.321
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2022M07;1.662.644
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Viajero;2022M06;1.503.440
