Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Residencia: Nivel 1;Residencia: Nivel 2;Viajeros y pernoctaciones;Periodo;Total
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2023M07;1.005.179
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2023M06;932.142
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2023M05;911.864
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2023M04;804.577
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2023M03;641.018
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2023M02;516.471
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2023M01;457.770
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2022M12;478.479
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2022M11;555.341
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2022M10;837.958
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2022M09;845.137
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2022M08;950.248
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2022M07;926.342
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2022M06;836.187
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2022M05;788.946
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2022M04;657.737
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2022M03;479.869
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2022M02;360.443
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2022M01;235.175
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2025M03;1.849.155
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2025M02;1.519.202
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2025M01;1.414.765
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2024M12;1.424.596
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2024M11;1.651.383
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2024M10;2.585.719
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2024M09;2.829.587
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2024M08;3.474.063
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2024M07;3.295.603
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2024M06;2.903.747
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2024M05;2.858.517
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2024M04;2.277.589
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2024M03;1.974.434
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2024M02;1.600.121
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2024M01;1.340.817
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2023M12;1.384.603
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2023M11;1.647.469
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2023M10;2.581.304
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2023M09;2.793.696
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2023M08;3.376.797
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2023M07;3.140.450
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2023M06;2.667.663
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2023M05;2.538.461
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2023M04;2.266.476
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2023M03;1.744.055
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2023M02;1.464.273
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2023M01;1.241.533
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2022M12;1.262.761
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2022M11;1.484.186
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2022M10;2.314.570
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2022M09;2.482.226
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2022M08;3.182.414
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2022M07;2.954.985
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2022M06;2.549.429
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2022M05;2.303.551
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2022M04;1.927.190
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2022M03;1.372.491
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2022M02;975.350
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2022M01;641.291
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2025M03;123.850
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2025M02;89.278
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2025M01;77.019
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2024M12;90.335
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2024M11;87.089
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2024M10;124.055
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2024M09;153.476
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2024M08;257.099
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2024M07;200.566
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2024M06;224.004
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2024M05;170.800
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2024M04;110.893
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2024M03;132.842
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2024M02;77.554
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2024M01;74.352
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2023M12;97.216
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2023M11;76.831
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2023M10;147.501
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2023M09;181.503
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2023M08;264.027
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2023M07;227.893
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2023M06;239.930
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2023M05;146.828
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2023M04;192.039
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2023M03;100.350
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2023M02;84.001
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2023M01;77.001
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2022M12;101.790
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2022M11;75.232
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2022M10;148.190
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2022M09;176.025
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2022M08;273.522
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2022M07;244.445
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2022M06;255.088
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2022M05;148.939
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2022M04;172.924
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2022M03;94.875
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2022M02;92.785
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2022M01;81.482
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Pernoctaciones;2025M03;238.161
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Pernoctaciones;2025M02;153.957
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Pernoctaciones;2025M01;134.300
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Pernoctaciones;2024M12;146.726
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Pernoctaciones;2024M11;141.791
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Pernoctaciones;2024M10;243.188
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Pernoctaciones;2024M09;341.466
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Pernoctaciones;2024M08;743.025
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Pernoctaciones;2024M07;519.927
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Pernoctaciones;2024M06;491.870
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Pernoctaciones;2024M05;359.515
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Pernoctaciones;2024M04;231.609
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Pernoctaciones;2024M03;267.739
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Pernoctaciones;2024M02;125.343
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Pernoctaciones;2024M01;120.857
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Pernoctaciones;2023M12;176.705
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Pernoctaciones;2023M11;130.560
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Pernoctaciones;2023M10;266.361
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Pernoctaciones;2023M09;380.955
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Pernoctaciones;2023M08;789.014
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Pernoctaciones;2023M07;591.426
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Pernoctaciones;2023M06;485.185
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Pernoctaciones;2023M05;294.462
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Pernoctaciones;2023M04;385.678
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Pernoctaciones;2023M03;190.360
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Pernoctaciones;2023M02;145.810
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Pernoctaciones;2023M01;138.992
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Pernoctaciones;2022M12;189.849
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Pernoctaciones;2022M11;130.250
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Pernoctaciones;2022M10;253.035
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Pernoctaciones;2022M09;372.824
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Pernoctaciones;2022M08;826.799
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Pernoctaciones;2022M07;619.760
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Pernoctaciones;2022M06;525.728
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Pernoctaciones;2022M05;294.420
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Pernoctaciones;2022M04;341.555
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Pernoctaciones;2022M03;193.695
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Pernoctaciones;2022M02;158.061
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Pernoctaciones;2022M01;148.330
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Viajero;2025M03;100.833
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Viajero;2025M02;73.192
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Viajero;2025M01;59.523
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Viajero;2024M12;57.552
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Viajero;2024M11;71.290
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Viajero;2024M10;254.757
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Viajero;2024M09;335.355
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Viajero;2024M08;408.296
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Viajero;2024M07;394.905
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Viajero;2024M06;302.868
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Viajero;2024M05;314.768
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Viajero;2024M04;213.439
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Viajero;2024M03;109.975
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Viajero;2024M02;68.516
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Viajero;2024M01;50.860
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Viajero;2023M12;63.723
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Viajero;2023M11;73.341
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Viajero;2023M10;238.094
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Viajero;2023M09;314.900
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Viajero;2023M08;372.153
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Viajero;2023M07;362.769
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Viajero;2023M06;274.205
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Viajero;2023M05;296.780
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Viajero;2023M04;222.915
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Viajero;2023M03;87.525
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Viajero;2023M02;61.937
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Viajero;2023M01;45.351
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Viajero;2022M12;53.654
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Viajero;2022M11;64.016
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Viajero;2022M10;202.899
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Viajero;2022M09;277.909
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Viajero;2022M08;354.716
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Viajero;2022M07;343.860
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Viajero;2022M06;254.234
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Viajero;2022M05;230.522
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Viajero;2022M04;156.628
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Viajero;2022M03;53.608
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Viajero;2022M02;55.588
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Viajero;2022M01;30.145
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Pernoctaciones;2025M03;249.803
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Pernoctaciones;2025M02;149.667
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Pernoctaciones;2025M01;116.402
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Pernoctaciones;2024M12;99.982
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Pernoctaciones;2024M11;143.908
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Pernoctaciones;2024M10;847.780
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Pernoctaciones;2024M09;1.298.091
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Pernoctaciones;2024M08;1.697.706
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Pernoctaciones;2024M07;1.709.033
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Pernoctaciones;2024M06;1.093.676
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Pernoctaciones;2024M05;997.264
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Pernoctaciones;2024M04;644.570
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Pernoctaciones;2024M03;286.421
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Pernoctaciones;2024M02;149.064
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Pernoctaciones;2024M01;91.259
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Pernoctaciones;2023M12;132.056
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Pernoctaciones;2023M11;173.545
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Pernoctaciones;2023M10;810.621
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Pernoctaciones;2023M09;1.201.347
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Pernoctaciones;2023M08;1.546.291
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Pernoctaciones;2023M07;1.507.584
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Pernoctaciones;2023M06;1.005.028
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Pernoctaciones;2023M05;923.204
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Pernoctaciones;2023M04;651.780
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Pernoctaciones;2023M03;225.607
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Pernoctaciones;2023M02;144.870
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Pernoctaciones;2023M01;101.475
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Pernoctaciones;2022M12;108.360
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Pernoctaciones;2022M11;153.317
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Pernoctaciones;2022M10;621.275
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Pernoctaciones;2022M09;1.004.850
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Pernoctaciones;2022M08;1.533.968
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Pernoctaciones;2022M07;1.448.306
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Pernoctaciones;2022M06;860.032
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Pernoctaciones;2022M05;685.925
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Pernoctaciones;2022M04;483.804
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Pernoctaciones;2022M03;124.045
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Pernoctaciones;2022M02;113.688
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en el Extranjero;Pernoctaciones;2022M01;56.573
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Viajero;2025M03;514.827
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Viajero;2025M02;499.366
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Viajero;2025M01;503.084
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Viajero;2024M12;608.656
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Viajero;2024M11;592.761
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Viajero;2024M10;563.427
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Viajero;2024M09;548.374
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Viajero;2024M08;471.259
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Viajero;2024M07;575.438
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Viajero;2024M06;591.116
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Viajero;2024M05;581.449
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Viajero;2024M04;518.289
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Viajero;2024M03;578.912
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Viajero;2024M02;543.763
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Viajero;2024M01;490.157
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Viajero;2023M12;627.019
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Viajero;2023M11;583.167
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Viajero;2023M10;526.741
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Viajero;2023M09;562.876
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Viajero;2023M08;474.758
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Viajero;2023M07;548.761
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Viajero;2023M06;615.801
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Viajero;2023M05;567.796
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Viajero;2023M04;566.092
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Viajero;2023M03;582.240
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Viajero;2023M02;523.275
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Viajero;2023M01;532.766
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Viajero;2022M12;620.080
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Viajero;2022M11;593.671
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Viajero;2022M10;582.487
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Viajero;2022M09;550.019
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Viajero;2022M08;448.780
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Viajero;2022M07;480.539
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Viajero;2022M06;554.884
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Viajero;2022M05;550.965
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Viajero;2022M04;555.151
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Viajero;2022M03;525.292
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Viajero;2022M02;484.422
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Viajero;2022M01;386.597
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Pernoctaciones;2025M03;933.188
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Pernoctaciones;2025M02;889.050
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Pernoctaciones;2025M01;909.763
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Pernoctaciones;2024M12;1.122.749
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Pernoctaciones;2024M11;1.069.887
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Pernoctaciones;2024M10;1.005.139
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Pernoctaciones;2024M09;931.628
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Pernoctaciones;2024M08;835.742
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Pernoctaciones;2024M07;996.009
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Pernoctaciones;2024M06;1.014.687
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Pernoctaciones;2024M05;1.018.192
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Pernoctaciones;2024M04;904.762
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Pernoctaciones;2024M03;1.042.343
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Pernoctaciones;2024M02;941.378
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Total;Residentes en España;Pernoctaciones;2024M01;879.889
