RESIDENCIA/ORIGEN;Países;Viajeros y pernoctaciones;Periodo;Total
Total;Resto del Mundo;Pernoctaciones;2023M10;721.921
Total;Resto del Mundo;Pernoctaciones;2023M09;822.039
Total;Resto del Mundo;Pernoctaciones;2023M08;861.030
Total;Resto del Mundo;Pernoctaciones;2023M07;954.839
Total;Resto del Mundo;Pernoctaciones;2023M06;779.938
Total;Resto del Mundo;Pernoctaciones;2023M05;720.766
Total;Resto del Mundo;Pernoctaciones;2023M04;615.635
Total;Resto del Mundo;Pernoctaciones;2023M03;473.051
Total;Resto del Mundo;Pernoctaciones;2023M02;397.339
Total;Resto del Mundo;Pernoctaciones;2023M01;406.918
Total;Resto del Mundo;Pernoctaciones;2022M12;431.913
Total;Resto del Mundo;Pernoctaciones;2022M11;457.672
Total;Resto del Mundo;Pernoctaciones;2022M10;619.268
Total;Resto del Mundo;Pernoctaciones;2022M09;638.933
Total;Resto del Mundo;Pernoctaciones;2022M08;740.209
Total;Resto del Mundo;Pernoctaciones;2022M07;786.180
Total;Resto del Mundo;Pernoctaciones;2022M06;570.394
Total;Resto del Mundo;Pernoctaciones;2022M05;500.607
Total;Resto del Mundo;Pernoctaciones;2022M04;393.612
Total;Resto del Mundo;Pernoctaciones;2022M03;308.959
América (sin EEUU);;Viajero;2025M03;293.830
América (sin EEUU);;Viajero;2025M02;238.752
América (sin EEUU);;Viajero;2025M01;272.099
América (sin EEUU);;Viajero;2024M12;258.017
América (sin EEUU);;Viajero;2024M11;312.135
América (sin EEUU);;Viajero;2024M10;506.530
América (sin EEUU);;Viajero;2024M09;545.860
América (sin EEUU);;Viajero;2024M08;461.258
América (sin EEUU);;Viajero;2024M07;511.500
América (sin EEUU);;Viajero;2024M06;463.627
América (sin EEUU);;Viajero;2024M05;509.334
América (sin EEUU);;Viajero;2024M04;367.432
América (sin EEUU);;Viajero;2024M03;318.762
América (sin EEUU);;Viajero;2024M02;235.324
América (sin EEUU);;Viajero;2024M01;263.204
América (sin EEUU);;Viajero;2023M12;251.354
América (sin EEUU);;Viajero;2023M11;290.492
América (sin EEUU);;Viajero;2023M10;469.114
América (sin EEUU);;Viajero;2023M09;502.969
América (sin EEUU);;Viajero;2023M08;455.100
América (sin EEUU);;Viajero;2023M07;483.156
América (sin EEUU);;Viajero;2023M06;445.741
América (sin EEUU);;Viajero;2023M05;473.902
América (sin EEUU);;Viajero;2023M04;366.005
América (sin EEUU);;Viajero;2023M03;263.751
América (sin EEUU);;Viajero;2023M02;207.331
América (sin EEUU);;Viajero;2023M01;235.376
América (sin EEUU);;Viajero;2022M12;217.689
América (sin EEUU);;Viajero;2022M11;245.004
América (sin EEUU);;Viajero;2022M10;402.817
América (sin EEUU);;Viajero;2022M09;441.760
América (sin EEUU);;Viajero;2022M08;375.613
América (sin EEUU);;Viajero;2022M07;412.300
América (sin EEUU);;Viajero;2022M06;374.258
América (sin EEUU);;Viajero;2022M05;361.850
América (sin EEUU);;Viajero;2022M04;279.019
América (sin EEUU);;Viajero;2022M03;192.296
América (sin EEUU);;Pernoctaciones;2025M03;744.010
América (sin EEUU);;Pernoctaciones;2025M02;593.210
América (sin EEUU);;Pernoctaciones;2025M01;667.281
América (sin EEUU);;Pernoctaciones;2024M12;594.863
América (sin EEUU);;Pernoctaciones;2024M11;731.629
América (sin EEUU);;Pernoctaciones;2024M10;1.159.491
América (sin EEUU);;Pernoctaciones;2024M09;1.240.173
América (sin EEUU);;Pernoctaciones;2024M08;1.121.241
América (sin EEUU);;Pernoctaciones;2024M07;1.239.828
América (sin EEUU);;Pernoctaciones;2024M06;1.088.701
América (sin EEUU);;Pernoctaciones;2024M05;1.163.778
América (sin EEUU);;Pernoctaciones;2024M04;878.757
América (sin EEUU);;Pernoctaciones;2024M03;795.450
América (sin EEUU);;Pernoctaciones;2024M02;598.121
América (sin EEUU);;Pernoctaciones;2024M01;651.403
América (sin EEUU);;Pernoctaciones;2023M12;584.694
América (sin EEUU);;Pernoctaciones;2023M11;689.288
América (sin EEUU);;Pernoctaciones;2023M10;1.088.466
América (sin EEUU);;Pernoctaciones;2023M09;1.151.327
América (sin EEUU);;Pernoctaciones;2023M08;1.085.803
América (sin EEUU);;Pernoctaciones;2023M07;1.153.428
América (sin EEUU);;Pernoctaciones;2023M06;1.020.623
América (sin EEUU);;Pernoctaciones;2023M05;1.080.435
América (sin EEUU);;Pernoctaciones;2023M04;859.247
América (sin EEUU);;Pernoctaciones;2023M03;628.363
América (sin EEUU);;Pernoctaciones;2023M02;508.716
América (sin EEUU);;Pernoctaciones;2023M01;572.576
América (sin EEUU);;Pernoctaciones;2022M12;508.822
América (sin EEUU);;Pernoctaciones;2022M11;589.626
América (sin EEUU);;Pernoctaciones;2022M10;937.605
América (sin EEUU);;Pernoctaciones;2022M09;1.016.207
América (sin EEUU);;Pernoctaciones;2022M08;913.442
América (sin EEUU);;Pernoctaciones;2022M07;1.002.778
América (sin EEUU);;Pernoctaciones;2022M06;910.477
América (sin EEUU);;Pernoctaciones;2022M05;843.961
América (sin EEUU);;Pernoctaciones;2022M04;675.976
América (sin EEUU);;Pernoctaciones;2022M03;489.641
Estados Unidos de América;;Viajero;2025M03;319.866
Estados Unidos de América;;Viajero;2025M02;162.553
Estados Unidos de América;;Viajero;2025M01;161.378
Estados Unidos de América;;Viajero;2024M12;197.316
Estados Unidos de América;;Viajero;2024M11;284.611
Estados Unidos de América;;Viajero;2024M10;499.034
Estados Unidos de América;;Viajero;2024M09;517.019
Estados Unidos de América;;Viajero;2024M08;394.490
Estados Unidos de América;;Viajero;2024M07;496.871
Estados Unidos de América;;Viajero;2024M06;576.211
Estados Unidos de América;;Viajero;2024M05;552.661
Estados Unidos de América;;Viajero;2024M04;398.934
Estados Unidos de América;;Viajero;2024M03;313.915
Estados Unidos de América;;Viajero;2024M02;165.964
Estados Unidos de América;;Viajero;2024M01;153.304
Estados Unidos de América;;Viajero;2023M12;191.388
Estados Unidos de América;;Viajero;2023M11;250.259
Estados Unidos de América;;Viajero;2023M10;448.050
Estados Unidos de América;;Viajero;2023M09;467.826
Estados Unidos de América;;Viajero;2023M08;338.032
Estados Unidos de América;;Viajero;2023M07;444.443
Estados Unidos de América;;Viajero;2023M06;501.977
Estados Unidos de América;;Viajero;2023M05;455.864
Estados Unidos de América;;Viajero;2023M04;335.189
Estados Unidos de América;;Viajero;2023M03;265.869
Estados Unidos de América;;Viajero;2023M02;131.354
Estados Unidos de América;;Viajero;2023M01;122.304
Estados Unidos de América;;Viajero;2022M12;156.109
Estados Unidos de América;;Viajero;2022M11;196.609
Estados Unidos de América;;Viajero;2022M10;363.053
Estados Unidos de América;;Viajero;2022M09;392.915
Estados Unidos de América;;Viajero;2022M08;260.354
Estados Unidos de América;;Viajero;2022M07;393.819
Estados Unidos de América;;Viajero;2022M06;437.326
Estados Unidos de América;;Viajero;2022M05;361.833
Estados Unidos de América;;Viajero;2022M04;222.759
Estados Unidos de América;;Viajero;2022M03;160.667
Estados Unidos de América;;Pernoctaciones;2025M03;770.543
Estados Unidos de América;;Pernoctaciones;2025M02;410.223
Estados Unidos de América;;Pernoctaciones;2025M01;422.042
Estados Unidos de América;;Pernoctaciones;2024M12;488.040
Estados Unidos de América;;Pernoctaciones;2024M11;684.164
Estados Unidos de América;;Pernoctaciones;2024M10;1.133.620
Estados Unidos de América;;Pernoctaciones;2024M09;1.170.755
Estados Unidos de América;;Pernoctaciones;2024M08;949.777
Estados Unidos de América;;Pernoctaciones;2024M07;1.224.254
Estados Unidos de América;;Pernoctaciones;2024M06;1.347.406
Estados Unidos de América;;Pernoctaciones;2024M05;1.244.696
Estados Unidos de América;;Pernoctaciones;2024M04;959.950
Estados Unidos de América;;Pernoctaciones;2024M03;799.937
Estados Unidos de América;;Pernoctaciones;2024M02;428.198
Estados Unidos de América;;Pernoctaciones;2024M01;388.082
Estados Unidos de América;;Pernoctaciones;2023M12;472.389
Estados Unidos de América;;Pernoctaciones;2023M11;628.841
Estados Unidos de América;;Pernoctaciones;2023M10;1.044.392
Estados Unidos de América;;Pernoctaciones;2023M09;1.075.129
Estados Unidos de América;;Pernoctaciones;2023M08;814.906
Estados Unidos de América;;Pernoctaciones;2023M07;1.101.227
Estados Unidos de América;;Pernoctaciones;2023M06;1.155.467
Estados Unidos de América;;Pernoctaciones;2023M05;1.027.692
Estados Unidos de América;;Pernoctaciones;2023M04;808.101
Estados Unidos de América;;Pernoctaciones;2023M03;666.163
Estados Unidos de América;;Pernoctaciones;2023M02;348.808
Estados Unidos de América;;Pernoctaciones;2023M01;324.555
Estados Unidos de América;;Pernoctaciones;2022M12;394.602
Estados Unidos de América;;Pernoctaciones;2022M11;487.522
Estados Unidos de América;;Pernoctaciones;2022M10;833.401
Estados Unidos de América;;Pernoctaciones;2022M09;890.838
Estados Unidos de América;;Pernoctaciones;2022M08;645.375
Estados Unidos de América;;Pernoctaciones;2022M07;961.715
Estados Unidos de América;;Pernoctaciones;2022M06;1.022.960
Estados Unidos de América;;Pernoctaciones;2022M05;838.841
Estados Unidos de América;;Pernoctaciones;2022M04;536.732
Estados Unidos de América;;Pernoctaciones;2022M03;415.119
Japón;;Viajero;2025M03;40.196
Japón;;Viajero;2025M02;37.691
Japón;;Viajero;2025M01;28.733
Japón;;Viajero;2024M12;32.605
Japón;;Viajero;2024M11;31.239
Japón;;Viajero;2024M10;37.935
Japón;;Viajero;2024M09;39.784
Japón;;Viajero;2024M08;33.878
Japón;;Viajero;2024M07;27.701
Japón;;Viajero;2024M06;37.936
Japón;;Viajero;2024M05;38.108
Japón;;Viajero;2024M04;32.694
Japón;;Viajero;2024M03;32.813
Japón;;Viajero;2024M02;31.851
Japón;;Viajero;2024M01;24.668
Japón;;Viajero;2023M12;26.533
Japón;;Viajero;2023M11;28.743
Japón;;Viajero;2023M10;34.799
Japón;;Viajero;2023M09;35.613
Japón;;Viajero;2023M08;26.360
Japón;;Viajero;2023M07;22.657
Japón;;Viajero;2023M06;26.099
Japón;;Viajero;2023M05;26.989
Japón;;Viajero;2023M04;21.464
Japón;;Viajero;2023M03;21.131
Japón;;Viajero;2023M02;19.051
Japón;;Viajero;2023M01;13.433
Japón;;Viajero;2022M12;13.261
Japón;;Viajero;2022M11;13.423
Japón;;Viajero;2022M10;16.157
Japón;;Viajero;2022M09;14.129
Japón;;Viajero;2022M08;11.942
Japón;;Viajero;2022M07;10.452
Japón;;Viajero;2022M06;11.087
Japón;;Viajero;2022M05;8.241
Japón;;Viajero;2022M04;7.907
Japón;;Viajero;2022M03;4.861
Japón;;Pernoctaciones;2025M03;85.190
Japón;;Pernoctaciones;2025M02;74.223
Japón;;Pernoctaciones;2025M01;60.598
Japón;;Pernoctaciones;2024M12;67.243
Japón;;Pernoctaciones;2024M11;61.593
Japón;;Pernoctaciones;2024M10;72.561
Japón;;Pernoctaciones;2024M09;82.141
Japón;;Pernoctaciones;2024M08;68.629
Japón;;Pernoctaciones;2024M07;56.904
Japón;;Pernoctaciones;2024M06;73.447
Japón;;Pernoctaciones;2024M05;74.885
Japón;;Pernoctaciones;2024M04;65.096
Japón;;Pernoctaciones;2024M03;70.076
Japón;;Pernoctaciones;2024M02;67.149
Japón;;Pernoctaciones;2024M01;48.896
Japón;;Pernoctaciones;2023M12;54.371
Japón;;Pernoctaciones;2023M11;58.834
Japón;;Pernoctaciones;2023M10;68.240
Japón;;Pernoctaciones;2023M09;74.408
Japón;;Pernoctaciones;2023M08;57.167
Japón;;Pernoctaciones;2023M07;48.075
Japón;;Pernoctaciones;2023M06;50.878
Japón;;Pernoctaciones;2023M05;52.327
Japón;;Pernoctaciones;2023M04;46.060
Japón;;Pernoctaciones;2023M03;43.846
Japón;;Pernoctaciones;2023M02;41.741
Japón;;Pernoctaciones;2023M01;28.375
Japón;;Pernoctaciones;2022M12;27.506
Japón;;Pernoctaciones;2022M11;29.125
Japón;;Pernoctaciones;2022M10;33.290
Japón;;Pernoctaciones;2022M09;31.807
Japón;;Pernoctaciones;2022M08;29.213
Japón;;Pernoctaciones;2022M07;29.439
Japón;;Pernoctaciones;2022M06;24.511
Japón;;Pernoctaciones;2022M05;20.421
Japón;;Pernoctaciones;2022M04;20.113
Japón;;Pernoctaciones;2022M03;14.146
Asia (sin Japón);;Viajero;2025M03;""
Asia (sin Japón);;Viajero;2025M02;""
Asia (sin Japón);;Viajero;2025M01;""
Asia (sin Japón);;Viajero;2024M12;""
Asia (sin Japón);;Viajero;2024M11;""
Asia (sin Japón);;Viajero;2024M10;""
Asia (sin Japón);;Viajero;2024M09;""
Asia (sin Japón);;Viajero;2024M08;""
Asia (sin Japón);;Viajero;2024M07;""
Asia (sin Japón);;Viajero;2024M06;""
Asia (sin Japón);;Viajero;2024M05;""
Asia (sin Japón);;Viajero;2024M04;""
Asia (sin Japón);;Viajero;2024M03;""
Asia (sin Japón);;Viajero;2024M02;""
Asia (sin Japón);;Viajero;2024M01;""
Asia (sin Japón);;Viajero;2023M12;""
Asia (sin Japón);;Viajero;2023M11;""
Asia (sin Japón);;Viajero;2023M10;""
Asia (sin Japón);;Viajero;2023M09;""
Asia (sin Japón);;Viajero;2023M08;""
Asia (sin Japón);;Viajero;2023M07;""
Asia (sin Japón);;Viajero;2023M06;""
Asia (sin Japón);;Viajero;2023M05;""
Asia (sin Japón);;Viajero;2023M04;""
Asia (sin Japón);;Viajero;2023M03;""
Asia (sin Japón);;Viajero;2023M02;""
Asia (sin Japón);;Viajero;2023M01;""
Asia (sin Japón);;Viajero;2022M12;""
Asia (sin Japón);;Viajero;2022M11;""
Asia (sin Japón);;Viajero;2022M10;""
Asia (sin Japón);;Viajero;2022M09;""
Asia (sin Japón);;Viajero;2022M08;""
Asia (sin Japón);;Viajero;2022M07;""
Asia (sin Japón);;Viajero;2022M06;""
Asia (sin Japón);;Viajero;2022M05;""
Asia (sin Japón);;Viajero;2022M04;""
Asia (sin Japón);;Viajero;2022M03;""
Asia (sin Japón);;Pernoctaciones;2025M03;""
Asia (sin Japón);;Pernoctaciones;2025M02;""
Asia (sin Japón);;Pernoctaciones;2025M01;""
Asia (sin Japón);;Pernoctaciones;2024M12;""
Asia (sin Japón);;Pernoctaciones;2024M11;""
Asia (sin Japón);;Pernoctaciones;2024M10;""
Asia (sin Japón);;Pernoctaciones;2024M09;""
Asia (sin Japón);;Pernoctaciones;2024M08;""
Asia (sin Japón);;Pernoctaciones;2024M07;""
Asia (sin Japón);;Pernoctaciones;2024M06;""
Asia (sin Japón);;Pernoctaciones;2024M05;""
Asia (sin Japón);;Pernoctaciones;2024M04;""
Asia (sin Japón);;Pernoctaciones;2024M03;""
Asia (sin Japón);;Pernoctaciones;2024M02;""
Asia (sin Japón);;Pernoctaciones;2024M01;""
Asia (sin Japón);;Pernoctaciones;2023M12;""
Asia (sin Japón);;Pernoctaciones;2023M11;""
Asia (sin Japón);;Pernoctaciones;2023M10;""
Asia (sin Japón);;Pernoctaciones;2023M09;""
Asia (sin Japón);;Pernoctaciones;2023M08;""
Asia (sin Japón);;Pernoctaciones;2023M07;""
Asia (sin Japón);;Pernoctaciones;2023M06;""
Asia (sin Japón);;Pernoctaciones;2023M05;""
Asia (sin Japón);;Pernoctaciones;2023M04;""
Asia (sin Japón);;Pernoctaciones;2023M03;""
Asia (sin Japón);;Pernoctaciones;2023M02;""
Asia (sin Japón);;Pernoctaciones;2023M01;""
Asia (sin Japón);;Pernoctaciones;2022M12;""
Asia (sin Japón);;Pernoctaciones;2022M11;""
Asia (sin Japón);;Pernoctaciones;2022M10;""
Asia (sin Japón);;Pernoctaciones;2022M09;""
Asia (sin Japón);;Pernoctaciones;2022M08;""
Asia (sin Japón);;Pernoctaciones;2022M07;""
Asia (sin Japón);;Pernoctaciones;2022M06;""
Asia (sin Japón);;Pernoctaciones;2022M05;""
Asia (sin Japón);;Pernoctaciones;2022M04;""
Asia (sin Japón);;Pernoctaciones;2022M03;""
