apartment_id,name,description,host_id,neighbourhood_name,neighbourhood_district,room_type,accommodates,bathrooms,bedrooms,beds,amenities_list,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review_date,last_review_date,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,is_instant_bookable,reviews_per_month,country,city,insert_date
13195060,Minutes walk from the beach a modern family house,"Our home is low down in the beautiful village of Es Grau, very close to the beach only a few mins walk, great views, restaurants & dining. Es Grau is an unspoilt Spanish fishing village, Its great for couples, solo adventurers, and ideal for families with children. You are 10mins drive from the Capital of Mahon which has it all. The house has A/C, wifi, Satellite TV &  was completely renovated in 2013. Our website has all info- holidayhomeinesgraucom The beach is very safe for children. We as a family find the Menorca/Es Grau holiday very easy and relaxing, the flight from the UK is short only 1 hr 50 minutes, you arrive then in Mahon airport which is only 15 minutes from Es grau so if you collect your hire car or grab a taxi you know very soon your holiday starts with no hassle. Es grau is ideal for families, the bay is perfect for swimming and paddling with small children as the sea is shallow and warm for a long way out, the beach is just a few minutes walk from our house. Es Grau i",73885951,Mah�n,,Entire home/apt,6,2.0,3.0,3.0,"TV,Cable TV,Internet,Wifi,Air conditioning,Wheelchair accessible,Kitchen,Heating,Family/kid friendly,Washer,Smoke detector,First aid kit,Safety card,Fire extinguisher,Essentials,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace",1380.0,6,1125,VERDADERO,0,0,24,243,1,2016-06-06,2016-06-06,,,,,,,,FALSO,4.0,spain,menorca,2018-08-29
13196950,Beautiful country house with garden views,"My place is close to family-friendly activities, vineyards, beautiful countryside. You�ll love my place because of the garden views and the frogs in the ponds. My place is good for families. Spacious family home in the country side, set in beautiful private garden with many established plants to relax. Short drives to traditional villages of Sencelles & Costitx with supermarkets. Inca with all shopping possibilities is close by. Registration number: ETV / 6636 Large family villa in the countryside, surrounded by beautiful garden with many plants and trees in the shade you can relax. Short drives (3min) to the traditional villages Sencelles and Costitx where there are small supermarkets. Inka with all shops is also nearby (7min drive). The house has been completely renovated, wood double glazed windows, new bathrooms, new A / C hot / cold, new oil central heating, new fully equipped American / open kitchen with Bosch appliances. Established garden, pool, building with barbecue and pizza",73903773,Sencelles,,Entire home/apt,10,5.0,5.0,7.0,"TV,Internet,Wifi,Pool,Kitchen,Free parking on premises,Heating,Family/kid friendly,Washer,Dryer,Essentials,Hangers",2000.0,7,91,VERDADERO,28,58,81,283,1,2016-08-31,2016-08-31,800.0,,,,80.0,100.0,100.0,FALSO,2.0,spain,mallorca,2020-03-22
13320718,Habitaci�n doble mobiliario nuevo Eixample,"Lugares de inter�s: Hospital Clinic, Paseo de Gracia, Casa Mila, Francesc Mas�a, Eixample. Te va a encantar mi lugar debido a que todo el mobiliario es nuevo y el apartamento recien reformado. La localizacion es genial tambien, esta en el centro de Barcelona, en el barrio Eixample, con el metro, FFGC y tram muy cerca. El barrio cuenta con varias discotecas, buenos restaurantes y supermercados.. Mi alojamiento es bueno para parejas, aventureros, y viajeros de negocios.",62884441,l'Antiga Esquerra de l'Eixample,Eixample,Private room,2,1.0,1.0,1.0,"TV,Wireless Internet,Kitchen,Elevator,Washer,Essentials,Hangers,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",600.0,20,1125,,0,0,0,0,1,2016-06-19,2016-06-19,,,,,,,,FALSO,7.0,spain,barcelona,2017-08-06
13344391,"EN ATOCHA, A NORMAL PLACE, GARNUU RAUON","Lugares de inter�s: hay muchos parkes cerca. Te va a encantar mi lugar debido a el barrio, la luz, y la comodidad de la cama. Mi alojamiento es bueno para aventureros y viajeros de negocios. Dont need public transportaci�n , everything is a walking distancie When ever they need it, and allways to make your staying mor� confortable . It is very well located , there are about 6 supermarkets Just around the c�rner, metro and renfe Arocha Just 2 blocs alway from the building , locals bar are always open till 2 am. Among other things like parks El retiro 10 m walk and el planetario which is Also another nice and BIG park 5 m alway from home . I Live close to Atocha 3 m walk and to Palos de la frontera 2 m walk , Down Town Its about 20 m walk there are buses as well running very often .",75604545,Palos de Moguer,Arganzuela,Private room,1,1.0,1.0,1.0,"Wifi,Kitchen,Breakfast,Pets live on this property,Elevator,Heating,Washer,First aid kit,Essentials,Hangers,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",120.0,5,30,VERDADERO,0,0,0,0,1,2016-06-17,2016-06-17,,,,,,,,FALSO,2.0,spain,madrid,2019-11-09
13490930,Casa de dos plantas a cinco minutos de la playa,"Lugares de inter�s: la playa, restaurantes y comida, vida nocturna, y transporte p�blico. Te va a encantar mi lugar debido a la ubicaci�n, el ambiente, y la gente. Mi alojamiento es bueno para parejas, aventureros, viajeros de negocios, y familias (con hijos).",77309915,Calvi�,,Entire home/apt,6,2.0,3.0,3.0,"TV,Air conditioning,Pool,Kitchen,Smoking allowed,Pets allowed,Family/kid friendly,Washer,Essentials,Hangers",1500.0,5,1125,VERDADERO,30,60,90,365,1,2019-07-16,2019-07-16,,,,,,,,VERDADERO,4.0,spain,mallorca,2019-09-28
13581714,HOUSE WITH POOL AND GARDEN,"Ground floor house very well located. A few minutes from the beach and shops. It has a perfect garden to unwind and relax. It has 2 double bedrooms, master with small living room. Both with garden view. 1 bathroom.  kitchen-dining room. Private Pool. barbacue. Ground floor house very well located. A few minutes from the beach and shops. It has a perfect garden to unwind and relax. It has 2 double bedrooms, master with small living room. Both with garden view. 1 bathroom. .Sal�n kitchen dining room. Piscina.Barbacoa",37865833,Pals,,Entire home/apt,4,1.0,2.0,3.0,"TV,Pool,Kitchen,Free parking on premises,Smoking allowed,Pets allowed,Free street parking,Family/kid friendly,Washer,Essentials,Hangers,Hot water,Other",1200.0,7,31,VERDADERO,0,0,0,209,1,2018-03-12,2018-03-12,,,,,,,,FALSO,6.0,spain,girona,2019-07-29
13889150,"Cas Home, holiday home with tennis court in B�ger, Mallorca","Villa with tennis court situated in a quiet area with country and mountains views close the town of Buger The house lined with stone is distributed in 2 floors, It has a living room with wooden beams, fully equipped kitchen with appliances, 3 double bedrooms all upstairs, 2 bathrooms. Villa with tennis court situated in a quiet area with country and mountains views close the town of Buger The house lined with stone is distributed in 2 floors, It has a living room with wooden beams, fully equipped kitchen with appliances, 3 double bedrooms all upstairs, 2 bathrooms.  Outside barbecue area, garden furniture, swimming pool surrounded by lawn, tennis courts and space to play football.  The long beaches of Puerto de Alcudia and Puerto Pollensa are within a 10-15 minute drive. The village of Buger you reach in a walking distance, at about 500mts. Internet-wifi and air conditioned. NOTE: Electricity consume extra: 0.30�/kw (credit card details required upon arrival) Included services: - Touri",81580920,B�ger,,Entire home/apt,6,2.0,3.0,4.0,"TV,Cable TV,Internet,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Smoking allowed,Free street parking,Family/kid friendly,Washer,Essentials,Hair dryer,Iron,Bathtub,Crib",1560.0,1,1125,VERDADERO,12,12,15,267,1,2018-05-14,2018-05-14,,,,,,,,VERDADERO,8.0,spain,mallorca,2019-05-27
13978622,Cute private  double room and bath,"Enjoy a quiet double room with free Wi-Fi  and  private bathroom at the city center ,in Sant Antoni Market area,the new Barcelona's Soho! 5 min from Gayxample and very close to bars,pubs  and discos. Very well connected , and near to metro and bus",36452258,Sant Antoni,Eixample,Private room,2,1.0,1.0,1.0,"translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",600.0,1,1125,VERDADERO,29,59,89,364,2,2016-10-01,2016-10-28,,,,,,,,FALSO,5.0,spain,barcelona,2020-01-10
14162757,Habitaci�n amplia tipo mini loft. Solo para chicas,"Habitaci�n c�moda, amplia y confortable, dise�ada para estudiantes o chicas que buscan iniciar su vida en Barcelona... Piso grande e iluminado, totalmente amueblado y equipado. Ambiente tranquilo y agradable. Muy cerca del Centro de la ciudad. Habitaci�n c�moda, amplia y confortable, ideal para estudiantes o chicas emprendedoras con intenci�n de radicarse en Barcelona... Piso amplio, c�modo e iluminado. Ambiente tranquilo y agradable. Con acceso a cocina, lavadora y ba�o. Barrio centrico y muy movido. Su ubicaci�n es perfecta ya que queda a 15 minutos del Centro de Barcelona. A 300mts. de la estaci�n del metro Paralel y estaci�n de bus. Desde aqui puedes movilizarte perfectamente caminando o a traves del metro y de bus.",46769057,el Poble Sec,Sants-Montju�c,Private room,1,1.0,1.0,1.0,"Wifi,Kitchen,Heating,Washer,Essentials,Hangers,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",200.0,1,1125,VERDADERO,0,0,0,0,1,2016-11-09,2016-11-09,1000.0,100.0,80.0,,100.0,,,FALSO,4.0,spain,barcelona,2019-01-14
14309144,CAN ANA 2,"Habitaci�n en zona residencial a 10 minutos de la playa, a 20 minutos del centro. F�cil aparcamiento. Parking de la comunidad para bicicletas. Ideal para estudiantes que quieran reservar por una temporada de larga duraci�n.",13967201,Este,,Private room,1,1.0,1.0,1.0,"Smoking allowed,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",500.0,1,1125,VERDADERO,0,28,58,333,1,2016-08-09,2016-08-09,,,,,,,,VERDADERO,3.0,spain,malaga,2019-06-30
